2023-08-25 00:28:12,376 INFO  BatteryController:42 - [] This log message will be written to the file.
2023-08-25 22:28:43,772 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=Aziz, postcode=100, capacity=10)
2023-08-25 22:28:44,862 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=arva, postcode=200, capacity=20)
2023-08-25 22:28:45,874 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=kukuk, postcode=300, capacity=30)
2023-08-25 22:28:46,886 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=hjyj, postcode=400, capacity=40)
2023-08-25 22:28:47,894 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=Aziz, postcode=500, capacity=50)
2023-08-25 22:28:48,906 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=rtr, postcode=600, capacity=60)
2023-08-25 22:28:49,913 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=rter, postcode=700, capacity=70)
2023-08-25 22:28:50,925 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=rtrt, postcode=800, capacity=80)
2023-08-25 22:28:51,936 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=rgrgt, postcode=900, capacity=90)
2023-08-25 22:28:52,946 INFO  BatteryController$RegistrationTask:112 - [] Battery registered :BatteryDto(name=fdf, postcode=1000, capacity=100)
2023-08-25 22:38:03,565 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=Aziz, postcode=100, capacity=10)
2023-08-25 22:38:03,567 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=arva, postcode=200, capacity=20)
2023-08-25 22:38:03,568 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=kukuk, postcode=300, capacity=30)
2023-08-25 22:38:03,569 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=hjyj, postcode=400, capacity=40)
2023-08-25 22:38:03,569 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=Aziz, postcode=500, capacity=50)
2023-08-25 22:38:03,570 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rtr, postcode=600, capacity=60)
2023-08-25 22:38:03,571 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rter, postcode=700, capacity=70)
2023-08-25 22:38:03,572 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rtrt, postcode=800, capacity=80)
2023-08-25 22:38:03,573 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=rgrgt, postcode=900, capacity=90)
2023-08-25 22:38:03,573 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=fdf, postcode=1000, capacity=100)
2023-08-25 22:40:37,961 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=Aziz, postcode=100, capacity=10)
2023-08-25 22:40:37,963 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=arva, postcode=200, capacity=20)
2023-08-25 22:40:37,965 INFO  BatteryController$RegistrationTask:116 - [] Battery registered :BatteryDto(name=kukuk, postcode=300, capacity=30)
